date,name,sig
27/01/20,BTS,0
28/01/20,BTS,0
29/01/20,BTS,0
30/01/20,BTS,0
31/01/20,BTS,0
03/02/20,BTS,0
04/02/20,BTS,0
05/02/20,BTS,0
06/02/20,BTS,0
07/02/20,BTS,0
11/02/20,BTS,0
12/02/20,BTS,0
13/02/20,BTS,0
14/02/20,BTS,0
17/02/20,BTS,0
18/02/20,BTS,0
19/02/20,BTS,0
20/02/20,BTS,0
21/02/20,BTS,0
24/02/20,BTS,0
25/02/20,BTS,0
26/02/20,BTS,0
27/02/20,BTS,0
28/02/20,BTS,0
02/03/20,BTS,0
03/03/20,BTS,0
04/03/20,BTS,0
05/03/20,BTS,0
06/03/20,BTS,0
09/03/20,BTS,0
10/03/20,BTS,0
11/03/20,BTS,0
12/03/20,BTS,0
13/03/20,BTS,BUY
16/03/20,BTS,0
17/03/20,BTS,0
18/03/20,BTS,0
19/03/20,BTS,0
20/03/20,BTS,0
23/03/20,BTS,0
24/03/20,BTS,0
25/03/20,BTS,0
26/03/20,BTS,0
27/03/20,BTS,0
30/03/20,BTS,0
31/03/20,BTS,0
01/04/20,BTS,0
